Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2008,1,6,7,1009,1010,1306,1300,WN,3501,N420WN,237,230,222,6,-1,MDW,PHX,1444,6,9,0,,0,NA,NA,NA,NA,NA
2008,1,6,7,1153,1045,1443,1330,WN,1756,N451WN,110,105,95,73,68,PDX,SLC,630,8,7,0,,0,0,68,5,0,0
2008,1,6,7,939,930,1503,1510,WN,764,N231WN,204,220,190,-7,9,SAN,BNA,1751,3,11,0,,0,NA,NA,NA,NA,NA
2008,1,6,7,1316,1245,1437,1410,WN,179,N495WN,81,85,71,27,31,SMF,SAN,480,4,6,0,,0,0,0,0,12,15
2008,1,7,1,1015,1005,1302,1320,WN,1860,N217JC,167,195,153,-18,10,BDL,TPA,1111,5,9,0,,0,NA,NA,NA,NA,NA
2008,1,7,1,837,840,910,925,WN,831,N348SW,93,105,83,-15,-3,CLE,STL,487,4,6,0,,0,NA,NA,NA,NA,NA
2008,1,7,1,2202,2200,2252,2255,WN,64,N279WN,50,55,42,-3,2,HOU,DAL,239,4,4,0,,0,NA,NA,NA,NA,NA
2008,1,7,1,1914,1905,2128,2120,WN,415,N692SW,74,75,59,8,9,LAS,SLC,368,3,12,0,,0,NA,NA,NA,NA,NA
2008,1,7,1,615,615,728,730,WN,2108,N453WN,73,75,62,-2,0,MDW,BNA,395,5,6,0,,0,NA,NA,NA,NA,NA
2008,1,7,1,2147,2055,2332,2255,WN,2730,N433LV,105,120,97,37,52,OAK,SEA,671,4,4,0,,0,2,0,0,0,35
2008,1,7,1,1221,1200,1529,1505,WN,3168,N503SW,128,125,98,24,21,PHX,SAT,843,2,28,0,,0,15,0,3,0,6
2008,1,7,1,1922,1925,2056,2110,WN,2467,N203WN,94,105,76,-14,-3,SEA,SMF,605,4,14,0,,0,NA,NA,NA,NA,NA
2008,1,7,1,705,710,807,800,WN,3604,N229WN,62,50,35,7,-5,TPA,JAX,180,7,20,0,,0,NA,NA,NA,NA,NA
2008,1,8,2,1421,1425,1540,1535,WN,10,N660SW,79,70,66,5,-4,BUR,OAK,325,4,9,0,,0,NA,NA,NA,NA,NA
2008,1,8,2,1905,1905,2040,2040,WN,1156,N385SW,95,95,81,0,0,DAL,STL,546,3,11,0,,0,NA,NA,NA,NA,NA
2008,1,8,2,1938,1940,2043,2100,WN,3154,N785SW,65,80,57,-17,-2,JAN,HOU,359,2,6,0,,0,NA,NA,NA,NA,NA
2008,1,8,2,2016,2010,2110,2110,WN,2542,N431WN,54,60,46,0,6,LBB,DAL,293,3,5,0,,0,NA,NA,NA,NA,NA
2008,1,8,2,629,630,838,855,WN,339,N412WN,249,265,234,-17,-1,MDW,SAN,1728,3,12,0,,0,NA,NA,NA,NA,NA
2008,1,8,2,557,600,709,720,WN,1940,N601WN,72,80,62,-11,-3,PDX,RNO,444,4,6,0,,0,NA,NA,NA,NA,NA
2008,1,8,2,700,700,842,850,WN,293,N414WN,102,110,85,-8,0,RNO,SEA,564,5,12,0,,0,NA,NA,NA,NA,NA
2008,1,8,2,2053,2045,2156,2155,WN,1853,N686SW,63,70,52,1,8,SMF,BUR,358,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1618,1615,1725,1720,WN,1079,N364SW,67,65,51,5,3,AMA,DAL,324,5,11,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,759,800,847,850,WN,1134,N419WN,48,50,32,-3,-1,BWI,ORF,159,3,13,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1832,1830,1925,1930,WN,3596,N489WN,53,60,38,-5,2,FLL,TPA,197,4,11,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1741,1740,2005,1950,WN,559,N528SW,84,70,45,15,1,LAS,PHX,256,6,33,0,,0,0,0,15,0,0
2008,1,9,3,630,630,819,830,WN,2193,N692SW,169,180,158,-11,0,MCO,MCI,1072,5,6,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1318,1300,1422,1415,WN,746,N749SW,64,75,54,7,18,OAK,LAX,337,4,6,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,713,715,731,735,WN,2639,N265WN,78,80,59,-4,-2,PHX,LAX,370,9,10,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1930,1935,2052,2100,WN,998,N366SW,142,145,132,-8,-5,SAT,PHX,843,4,6,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1031,1025,1125,1125,WN,1488,N747SA,54,60,41,0,6,STL,MDW,251,5,8,0,,0,NA,NA,NA,NA,NA
2008,1,10,4,647,650,930,945,WN,81,N457WN,103,115,87,-15,-3,BNA,PHL,675,5,11,0,,0,NA,NA,NA,NA,NA
2008,1,10,4,1532,1530,1635,1630,WN,37,N523SW,63,60,41,5,2,DAL,HOU,239,3,19,0,,0,NA,NA,NA,NA,NA
2008,1,10,4,1419,1415,1515,1515,WN,1417,N528SW,56,60,47,0,4,HRL,AUS,273,3,6,0,,0,NA,NA,NA,NA,NA
2008,1,10,4,NA,1200,NA,1315,WN,3655,,NA,75,NA,NA,NA,LAX,OAK,337,NA,NA,1,A,0,NA,NA,NA,NA,NA
2008,1,10,4,1321,1245,1446,1410,WN,132,N211WN,85,85,70,36,36,MDW,MCI,405,7,8,0,,0,0,0,0,36,0
2008,1,10,4,1827,1820,1935,1930,WN,145,N457WN,68,70,57,5,7,ONT,SJC,333,2,9,0,,0,NA,NA,NA,NA,NA
2008,1,10,4,825,825,927,940,WN,723,N313SW,62,75,49,-13,0,PVD,PHL,238,7,6,0,,0,NA,NA,NA,NA,NA
2008,1,10,4,747,750,851,905,WN,2203,N362SW,64,75,55,-14,-3,SJC,SAN,417,2,7,0,,0,NA,NA,NA,NA,NA
2008,1,11,5,630,635,743,750,WN,1218,N207WN,73,75,60,-7,-5,ABQ,DEN,349,7,6,0,,0,NA,NA,NA,NA,NA
2008,1,11,5,619,625,738,745,WN,614,N248WN,79,80,61,-7,-6,BWI,CMH,336,5,13,0,,0,NA,NA,NA,NA,NA
2008,1,11,5,1121,1120,1343,1345,WN,1001,N734SA,82,85,65,-2,1,ELP,AUS,528,5,12,0,,0,NA,NA,NA,NA,NA
2008,1,11,5,1451,1455,1552,1600,WN,354,N446WN,61,65,38,-8,-4,LAS,LAX,236,4,19,0,,0,NA,NA,NA,NA,NA
2008,1,11,5,623,625,727,720,WN,63,N219WN,64,55,38,7,-2,MCI,STL,237,3,23,0,,0,NA,NA,NA,NA,NA
2008,1,11,5,1929,1930,2036,2040,WN,570,N509SW,67,70,58,-4,-1,MSY,HOU,303,3,6,0,,0,NA,NA,NA,NA,NA
2008,1,11,5,811,810,906,915,WN,3421,N513SW,55,65,41,-9,1,PHX,ABQ,328,4,10,0,,0,NA,NA,NA,NA,NA
2008,1,11,5,1030,1015,1203,1155,WN,1597,N787SA,93,100,71,8,15,SAN,SFO,447,6,16,0,,0,NA,NA,NA,NA,NA
2008,1,11,5,1228,1230,1344,1355,WN,3776,N457WN,76,85,64,-11,-2,SNA,OAK,371,4,8,0,,0,NA,NA,NA,NA,NA
2008,1,12,6,1900,1905,2058,2115,WN,1668,N462WN,58,70,45,-17,-5,BNA,CMH,338,3,10,0,,0,NA,NA,NA,NA,NA
2008,1,12,6,1354,1350,1448,1450,WN,313,N748SW,54,60,45,-2,4,DAL,SAT,248,3,6,0,,0,NA,NA,NA,NA,NA
2008,1,12,6,1048,1050,1259,1325,WN,1866,N234WN,131,155,115,-26,-2,LAS,GEG,806,4,12,0,,0,NA,NA,NA,NA,NA
2008,1,12,6,1007,1010,1206,1225,WN,1823,N290WN,299,315,285,-19,-3,MCO,LAS,2039,5,9,0,,0,NA,NA,NA,NA,NA
2008,1,12,6,1851,1850,2008,2010,WN,80,N486WN,77,80,63,-2,1,OAK,SNA,371,4,10,0,,0,NA,NA,NA,NA,NA
2008,1,12,6,1713,1715,1900,1930,WN,383,N211WN,287,315,273,-30,-2,RDU,LAS,2027,5,9,0,,0,NA,NA,NA,NA,NA
2008,1,12,6,925,925,1042,1050,WN,272,N334SW,77,85,69,-8,0,SMF,SAN,480,2,6,0,,0,NA,NA,NA,NA,NA
2008,1,13,7,2042,2020,2244,2230,WN,1417,N642WN,122,130,110,14,22,BNA,HOU,670,3,9,0,,0,NA,NA,NA,NA,NA
2008,1,13,7,1624,1620,1714,1720,WN,1614,N233LV,50,60,41,-6,4,DAL,LIT,296,3,6,0,,0,NA,NA,NA,NA,NA
2008,1,13,7,1541,1530,1700,1645,WN,2524,N679AA,79,75,63,15,11,JAX,FLL,318,3,13,0,,0,0,0,4,0,11
2008,1,13,7,1912,1915,2033,2045,WN,2788,N670SW,81,90,67,-12,-3,MCI,DAL,461,5,9,0,,0,NA,NA,NA,NA,NA
2008,1,13,7,706,705,819,825,WN,1531,N348SW,73,80,64,-6,1,MSY,BNA,471,3,6,0,,0,NA,NA,NA,NA,NA
2008,1,13,7,NA,815,NA,815,WN,898,,NA,60,NA,NA,NA,PHX,LAS,256,NA,NA,1,A,0,NA,NA,NA,NA,NA
2008,1,13,7,1610,1610,1828,1815,WN,987,N786SW,138,125,104,13,0,SDF,MCO,718,25,9,0,,0,NA,NA,NA,NA,NA
2008,1,13,7,955,955,1222,1225,WN,2014,N442WN,147,150,125,-3,0,TPA,ISP,1034,4,18,0,,0,NA,NA,NA,NA,NA
2008,1,14,1,1509,1510,1615,1620,WN,700,N478WN,66,70,52,-5,-1,BUR,OAK,325,5,9,0,,0,NA,NA,NA,NA,NA
2008,1,14,1,1505,1505,1557,1600,WN,1344,N719SW,52,55,40,-3,0,DAL,TUL,237,4,8,0,,0,NA,NA,NA,NA,NA
2008,1,14,1,952,955,1006,1010,WN,1292,N239WN,74,75,63,-4,-3,JAX,BHM,365,2,9,0,,0,NA,NA,NA,NA,NA
2008,1,14,1,1700,1705,1801,1810,WN,49,N652SW,61,65,52,-9,-5,LIT,DAL,296,3,6,0,,0,NA,NA,NA,NA,NA
2008,1,14,1,816,820,1045,1115,WN,1182,N238WN,149,175,140,-30,-4,MDW,SAT,1036,3,6,0,,0,NA,NA,NA,NA,NA
2008,1,14,1,1049,1050,1320,1335,WN,1194,N729SW,91,105,82,-15,-1,PDX,SLC,630,2,7,0,,0,NA,NA,NA,NA,NA
2008,1,14,1,1557,1600,1806,1820,WN,707,N448WN,129,140,118,-14,-3,RSW,BWI,919,4,7,0,,0,NA,NA,NA,NA,NA
2008,1,14,1,1320,1320,1437,1440,WN,2705,N515SW,77,80,63,-3,0,SMF,LAS,397,4,10,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,920,925,1301,1325,WN,1576,N609SW,161,180,150,-24,-5,AUS,BWI,1342,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,1827,1825,2114,2145,WN,1832,N212WN,287,320,271,-31,2,BWI,PHX,1999,7,9,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,1402,1355,1454,1500,WN,2001,N641SW,52,65,42,-6,7,GEG,PDX,279,3,7,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,NA,2115,NA,2315,WN,2966,,NA,60,NA,NA,NA,LAS,PHX,256,NA,NA,1,A,0,NA,NA,NA,NA,NA
2008,1,15,2,1418,1420,1654,1710,WN,2445,N218WN,156,170,144,-16,-2,MCO,MHT,1142,4,8,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,901,900,1021,1020,WN,3083,N720WN,80,80,51,1,1,OAK,LAX,337,9,20,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,858,850,1310,1310,WN,1351,N753SW,192,200,177,0,8,PHX,MDW,1444,5,10,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,1021,950,1216,1155,WN,1323,N692SW,115,125,98,21,31,SDF,MCO,718,7,10,0,,0,3,0,0,0,18
2008,1,15,2,1128,1130,1320,1325,WN,253,N344SW,52,55,40,-5,-2,STL,SDF,254,3,9,0,,0,NA,NA,NA,NA,NA
2008,1,16,3,829,835,1054,1105,WN,2637,N733SA,145,150,134,-11,-6,BNA,SAT,822,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,16,3,2046,2050,2146,2155,WN,54,N506SW,60,65,49,-9,-4,DAL,LBB,293,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,16,3,1519,1520,1620,1620,WN,2007,N326SW,121,120,102,0,-1,IAD,MDW,577,5,14,0,,0,NA,NA,NA,NA,NA
2008,1,16,3,1234,1235,1348,1400,WN,70,N351SW,74,85,59,-12,-1,LAX,SFO,337,6,9,0,,0,NA,NA,NA,NA,NA
2008,1,16,3,1311,1315,1600,1615,WN,1565,N499WN,109,120,102,-15,-4,MDW,MHT,838,2,5,0,,0,NA,NA,NA,NA,NA
2008,1,16,3,624,625,715,715,WN,1157,N706SW,51,50,39,0,-1,ORF,BWI,159,4,8,0,,0,NA,NA,NA,NA,NA
2008,1,16,3,947,945,1119,1125,WN,1229,N700GS,92,100,78,-6,2,RDU,MCO,534,7,7,0,,0,NA,NA,NA,NA,NA
2008,1,16,3,1834,1835,1949,2000,WN,1573,N735SA,75,85,59,-11,-1,SLC,DEN,391,8,8,0,,0,NA,NA,NA,NA,NA
2008,1,17,4,1432,1435,1801,1815,WN,2205,N748SW,149,160,139,-14,-3,ABQ,MDW,1121,4,6,0,,0,NA,NA,NA,NA,NA
2008,1,17,4,716,720,812,820,WN,2266,N607SW,56,60,41,-8,-4,BWI,ISP,220,4,11,0,,0,NA,NA,NA,NA,NA
2008,1,17,4,927,925,1009,1015,WN,4,N504SW,102,110,90,-6,2,ELP,SAN,636,4,8,0,,0,NA,NA,NA,NA,NA
2008,1,17,4,1058,1025,1639,1555,WN,1300,N710SW,221,210,204,44,33,LAS,MDW,1521,7,10,0,,0,0,0,11,0,33
2008,1,17,4,2111,1735,2158,1835,WN,3662,N726SW,107,120,94,203,216,MCO,BNA,616,5,8,0,,0,0,0,0,0,203
2008,1,17,4,1229,1230,1339,1335,WN,359,N795SW,70,65,48,4,-1,OAK,BUR,325,2,20,0,,0,NA,NA,NA,NA,NA
2008,1,17,4,2243,2125,21,2310,WN,1489,N259WN,98,105,84,71,78,PHX,DEN,602,8,6,0,,0,70,0,0,0,1
2008,1,17,4,2004,1955,2213,2205,WN,1597,N714CB,69,70,58,8,9,SAN,TUS,367,4,7,0,,0,NA,NA,NA,NA,NA
2008,1,17,4,918,920,1148,1150,WN,1411,N399WN,90,90,71,-2,-2,STL,CLE,487,5,14,0,,0,NA,NA,NA,NA,NA
2008,1,18,5,804,805,1023,1035,WN,1607,N611SW,79,90,65,-12,-1,BNA,DTW,457,6,8,0,,0,NA,NA,NA,NA,NA
2008,1,18,5,927,925,1031,1035,WN,1452,N286WN,64,70,54,-4,2,DAL,AMA,324,4,6,0,,0,NA,NA,NA,NA,NA
2008,1,18,5,1153,1140,1245,1240,WN,1412,N634SW,52,60,43,5,13,HOU,MSY,303,2,7,0,,0,NA,NA,NA,NA,NA
2008,1,18,5,1352,1340,1455,1445,WN,812,N510SW,63,65,51,10,12,LAX,LAS,236,3,9,0,,0,NA,NA,NA,NA,NA
2008,1,18,5,2109,2040,6,2325,WN,3931,N392SW,177,165,165,41,29,MDW,HOU,937,2,10,0,,0,6,0,12,0,23
2008,1,18,5,1819,1815,1922,1920,WN,1621,N745SW,63,65,53,2,4,OMA,STL,342,3,7,0,,0,NA,NA,NA,NA,NA
2008,1,18,5,1207,1210,1236,1240,WN,1481,N255WN,89,90,74,-4,-3,PIT,MDW,402,5,10,0,,0,NA,NA,NA,NA,NA
2008,1,18,5,1130,1125,1240,1240,WN,1632,N224WN,70,75,50,0,5,SJC,LAX,308,8,12,0,,0,NA,NA,NA,NA,NA
2008,1,18,5,1652,1625,1747,1730,WN,1344,N222WN,55,65,47,17,27,TUL,STL,351,3,5,0,,0,0,0,0,0,17
2008,1,19,6,616,610,854,840,WN,1224,N781WN,158,150,143,14,6,BWI,TPA,842,5,10,0,,0,NA,NA,NA,NA,NA
2008,1,19,6,1126,1045,1406,1325,WN,435,N629SW,100,100,85,41,41,JAN,MCO,587,8,7,0,,0,3,0,0,0,38
2008,1,19,6,1518,1445,1708,1650,WN,1748,N685SW,110,125,99,18,33,MCO,BWI,787,4,7,0,,0,4,0,0,0,14
2008,1,19,6,1636,1635,1753,1755,WN,536,N900WN,77,80,64,-2,1,OAK,SNA,371,4,9,0,,0,NA,NA,NA,NA,NA
2008,1,19,6,1732,1735,2002,2015,WN,3421,N786SW,90,100,79,-13,-3,RNO,PHX,601,5,6,0,,0,NA,NA,NA,NA,NA
2008,1,19,6,1436,1440,1716,1735,WN,3065,N788SA,100,115,91,-19,-4,STL,BWI,737,3,6,0,,0,NA,NA,NA,NA,NA
2008,1,20,7,1802,1805,1902,1915,WN,1107,N238WN,60,70,49,-13,-3,BUF,BWI,281,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,20,7,1039,1040,1606,1610,WN,894,N219WN,207,210,180,-4,-1,DEN,MCO,1545,5,22,0,,0,NA,NA,NA,NA,NA
2008,1,20,7,2059,2100,2201,2205,WN,178,N287WN,62,65,45,-4,-1,LAS,LAX,236,7,10,0,,0,NA,NA,NA,NA,NA
2008,1,20,7,1445,1445,1640,1650,WN,760,N684WN,115,125,100,-10,0,MCO,BWI,787,4,11,0,,0,NA,NA,NA,NA,NA
2008,1,20,7,1911,1915,2019,2035,WN,3918,N287WN,68,80,59,-16,-4,OAK,LAS,407,4,5,0,,0,NA,NA,NA,NA,NA
2008,1,20,7,1229,1230,1802,1825,WN,1350,N220WN,213,235,196,-23,-1,PHX,PIT,1813,6,11,0,,0,NA,NA,NA,NA,NA
2008,1,20,7,1247,1155,1840,1755,WN,1471,N352SW,233,240,221,45,52,SFO,MDW,1855,5,7,0,,0,1,0,0,0,44
2008,1,20,7,1318,1320,1719,1735,WN,723,N469WN,181,195,166,-16,-2,TUS,MDW,1440,6,9,0,,0,NA,NA,NA,NA,NA
2008,1,21,1,804,805,853,905,WN,1296,N447WN,109,120,92,-12,-1,BWI,BNA,588,4,13,0,,0,NA,NA,NA,NA,NA
2008,1,21,1,1735,1740,2000,2020,WN,757,N423WN,145,160,128,-20,-5,DTW,MCO,957,5,12,0,,0,NA,NA,NA,NA,NA
2008,1,21,1,619,620,856,915,WN,3147,N410WN,97,115,81,-19,-1,LAS,DEN,629,8,8,0,,0,NA,NA,NA,NA,NA
2008,1,21,1,601,600,734,720,WN,2802,N750SA,93,80,59,14,1,MCI,MDW,405,8,26,0,,0,NA,NA,NA,NA,NA
2008,1,21,1,738,735,1054,1105,WN,806,N424WN,196,210,183,-11,3,MHT,TPA,1204,4,9,0,,0,NA,NA,NA,NA,NA
2008,1,21,1,631,630,908,925,WN,1071,N649SW,157,175,142,-17,1,PHL,TPA,920,4,11,0,,0,NA,NA,NA,NA,NA
2008,1,21,1,1523,1505,1729,1715,WN,2006,N731SA,66,70,48,14,18,SAN,PHX,304,4,14,0,,0,NA,NA,NA,NA,NA
2008,1,21,1,1801,1745,1903,1850,WN,379,N278WN,62,65,45,13,16,SNA,LAS,226,11,6,0,,0,NA,NA,NA,NA,NA
2008,1,22,2,903,835,1056,1035,WN,125,N363SW,113,120,105,21,28,BHM,DAL,587,1,7,0,,0,0,0,0,0,21
2008,1,22,2,937,940,1035,1050,WN,1759,N493WN,58,70,48,-15,-3,CMH,BWI,336,3,7,0,,0,NA,NA,NA,NA,NA
2008,1,22,2,1002,955,1055,1055,WN,1526,N257WN,113,120,101,0,7,HOU,ELP,677,3,9,0,,0,NA,NA,NA,NA,NA
2008,1,22,2,1814,1755,1937,1920,WN,524,N379SW,83,85,70,17,19,LAS,SMF,397,3,10,0,,0,0,0,0,0,17
2008,1,22,2,1359,1355,1639,1640,WN,953,N488WN,100,105,88,-1,4,MDW,BWI,611,5,7,0,,0,NA,NA,NA,NA,NA
2008,1,22,2,843,840,959,1000,WN,352,N719SW,76,80,61,-1,3,OAK,SNA,371,5,10,0,,0,NA,NA,NA,NA,NA
2008,1,22,2,1934,1935,2015,2030,WN,3655,N757LV,101,115,92,-15,-1,PHX,SJC,621,3,6,0,,0,NA,NA,NA,NA,NA
2008,1,22,2,NA,1255,NA,1425,WN,656,,NA,90,NA,NA,NA,SFO,LAX,337,NA,NA,1,A,0,NA,NA,NA,NA,NA
2008,1,22,2,2232,2055,2309,2140,WN,300,N432WN,97,105,85,89,97,TPA,MSY,487,4,8,0,,0,0,0,0,0,89
2008,1,23,3,1228,1210,1329,1320,WN,2184,N679AA,61,70,49,9,18,BUR,OAK,325,4,8,0,,0,NA,NA,NA,NA,NA
2008,1,23,3,935,940,1137,1200,WN,3147,N223WN,62,80,49,-23,-5,DEN,AMA,358,5,8,0,,0,NA,NA,NA,NA,NA
2008,1,23,3,1243,1245,1348,1355,WN,2267,N411WN,65,70,54,-7,-2,JAX,FLL,318,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,23,3,1746,1740,1856,1845,WN,1614,N330SW,70,65,55,11,6,LIT,STL,296,5,10,0,,0,NA,NA,NA,NA,NA
2008,1,23,3,2147,1855,14,2140,WN,2987,N730SW,267,285,248,154,172,MDW,SFO,1855,5,14,0,,0,5,0,0,0,149
2008,1,23,3,1129,1130,1233,1250,WN,2889,N267WN,124,140,111,-17,-1,PHL,BNA,675,4,9,0,,0,NA,NA,NA,NA,NA
2008,1,23,3,1449,1450,1721,1730,WN,1196,N413WN,92,100,74,-9,-1,SAN,ABQ,628,4,14,0,,0,NA,NA,NA,NA,NA
2008,1,23,3,1623,1620,1742,1740,WN,3493,N443WN,79,80,66,2,3,SMF,LAX,373,5,8,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,836,835,928,930,WN,2821,N337SW,52,55,37,-2,1,AUS,DAL,189,5,10,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,1056,1100,1157,1205,WN,1589,N747SA,61,65,47,-8,-4,BWI,PVD,328,5,9,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,630,630,711,715,WN,255,N349SW,41,45,29,-4,0,HOU,AUS,148,4,8,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,2237,2235,2351,2350,WN,712,N226WN,74,75,61,1,2,LAS,RNO,345,5,8,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,1735,1740,1952,2015,WN,557,N280WN,137,155,119,-23,-5,MCO,PHL,861,4,14,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,1035,1035,1146,1150,WN,1591,N200WN,71,75,57,-4,0,OAK,ONT,361,5,9,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,1539,1530,1635,1635,WN,1773,N693SW,116,125,106,0,9,PHX,OAK,646,3,7,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,703,705,911,910,WN,3513,N700GS,128,125,102,1,-2,SDF,TPA,727,5,21,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,951,920,1130,1105,WN,2293,N422WN,159,165,143,25,31,TPA,AUS,928,4,12,0,,0,0,0,0,0,25
2008,1,25,5,1817,1805,1849,1845,WN,889,N772SW,92,100,80,4,12,BOI,LAS,520,4,8,0,,0,NA,NA,NA,NA,NA
2008,1,25,5,1634,1620,1730,1720,WN,1614,N406WN,56,60,45,10,14,DAL,LIT,296,4,7,0,,0,NA,NA,NA,NA,NA
